Marshall Islands,MHL,Forest area (sq. km),94
North Macedonia,MKD,Forest area (sq. km),10014.9
Mali,MLI,Forest area (sq. km),132960
Malta,MLT,Forest area (sq. km),4.6
Myanmar,MMR,Forest area (sq. km),282541.8
Montenegro,MNE,Forest area (sq. km),8270
Mongolia,MNG,Forest area (sq. km),141716.7
Northern Mariana Islands,MNP,Forest area (sq. km),243.6
Mozambique,MOZ,Forest area (sq. km),364976.047
Mauritania,MRT,Forest area (sq. km),3073.667
Mauritius,MUS,Forest area (sq. km),388.1
Malawi,MWI,Forest area (sq. km),21997
Malaysia,MYS,Forest area (sq. km),190638.9
Namibia,NAM,Forest area (sq. km),65678.9
New Caledonia,NCL,Forest area (sq. km),8379.2
Niger,NER,Forest area (sq. km),10672.8
Nigeria,NGA,Forest area (sq. km),214636.5
Nicaragua,NIC,Forest area (sq. km),33075.3
Netherlands,NLD,Forest area (sq. km),3704.367
Norway,NOR,Forest area (sq. km),121878
Nepal,NPL,Forest area (sq. km),59620.3
Nauru,NRU,Forest area (sq. km),0
New Zealand,NZL,Forest area (sq. km),99085.267
Oman,OMN,Forest area (sq. km),24.333
Pakistan,PAK,Forest area (sq. km),36845.6
Panama,PAN,Forest area (sq. km),42024.233
Peru,PER,Forest area (sq. km),721575.333
Philippines,PHL,Forest area (sq. km),72234.8
Palau,PLW,Forest area (sq. km),414.9
Papua New Guinea,PNG,Forest area (sq. km),358222.3
Poland,POL,Forest area (sq. km),94950
Puerto Rico,PRI,Forest area (sq. km),4968.2
Portugal,PRT,Forest area (sq. km),33120
Paraguay,PRY,Forest area (sq. km),158229.267
French Polynesia,PYF,Forest area (sq. km),1494.6
Qatar,QAT,Forest area (sq. km),0
Romania,ROU,Forest area (sq. km),69290.5
Russian Federation,RUS,Forest area (sq. km),8153116
Rwanda,RWA,Forest area (sq. km),2770
Saudi Arabia,SAU,Forest area (sq. km),9770
Sudan,SDN,Forest area (sq. km),181873.9
Senegal,SEN,Forest area (sq. km),80281.6
Singapore,SGP,Forest area (sq. km),153.9
Solomon Islands,SLB,Forest area (sq. km),25222.4
Sierra Leone,SLE,Forest area (sq. km),25151.5
El Salvador,SLV,Forest area (sq. km),5793.8
San Marino,SMR,Forest area (sq. km),10
Somalia,SOM,Forest area (sq. km),59032.5
Serbia,SRB,Forest area (sq. km),27229.4
South Sudan,SSD,Forest area (sq. km),71570
Sao Tome and Principe,STP,Forest area (sq. km),512.8
Suriname,SUR,Forest area (sq. km),151840.433
Slovak Republic,SVK,Forest area (sq. km),19259
Slovenia,SVN,Forest area (sq. km),12357.933
Sweden,SWE,Forest area (sq. km),279800
Eswatini,SWZ,Forest area (sq. km),4987.7
Seychelles,SYC,Forest area (sq. km),337
Syrian Arab Republic,SYR,Forest area (sq. km),5220.8
Turks and Caicos Islands,TCA,Forest area (sq. km),105.2
Chad,TCD,Forest area (sq. km),42013.333
Togo,TGO,Forest area (sq. km),12063.1
Thailand,THA,Forest area (sq. km),198370
Tajikistan,TJK,Forest area (sq. km),4248
Turkmenistan,TKM,Forest area (sq. km),41270
Timor-Leste,TLS,Forest area (sq. km),9197
Tonga,TON,Forest area (sq. km),89.5
Trinidad and Tobago,TTO,Forest area (sq. km),2277.7
Tunisia,TUN,Forest area (sq. km),7042.6
Turkiye,TUR,Forest area (sq. km),223763.6
Tuvalu,TUV,Forest area (sq. km),10
Tanzania,TZA,Forest area (sq. km),452760
Uganda,UGA,Forest area (sq. km),22966.433
Ukraine,UKR,Forest area (sq. km),96960
Uruguay,URY,Forest area (sq. km),20520
United States,USA,Forest area (sq. km),3097950
Uzbekistan,UZB,Forest area (sq. km),37155
"Venezuela RB",VEN,Forest area (sq. km),461733.6
British Virgin Islands,VGB,Forest area (sq. km),36.2
Virgin Islands (U.S.),VIR,Forest area (sq. km),200.6
Viet Nam,VNM,Forest area (sq. km),147189.9
Vanuatu,VUT,Forest area (sq. km),4423
Samoa,WSM,Forest area (sq. km),1611.9
Kosovo,XKX,Forest area (sq. km),0
Zambia,ZMB,Forest area (sq. km),446258.133
Zimbabwe,ZWE,Forest area (sq. km),173985.1
